Mont-Kiara,Kuala-Lumpur,1000000,2,0,5607512,Partly,Partly
Cheras,Kuala-Lumpur,310000,3,0,5607688,Partly,Partly
Kepong,Kuala-Lumpur,358000,3,0,5607864,Partly,Partly
Taman-Desa,amerika,455000,2,0,5608040,Partly,Partly
Kepong,Kuala-Lumpur,358000,3,0,5608216,Partly,Partly
Kepong,Kuala-Lumpur,358000,3,0,5608392,Partly,Partly
Bukit-Jalil,Kuala-Lumpur,505000,3,0,5608568,Partly,Partly
Jalan-Klang-Lama,Kuala-Lumpur,410000,3,0,5608744,Partly,Partly
Setapak,Kuala-Lumpur,278000,3,0,5608920,Partly,Partly
Sentul,Kuala-Lumpur,688000,3,0,5609096,Fully,Partly
Mont-Kiara,Kuala-Lumpur,660000,2,0,5609272,Fully,Partly
Jalan-Klang-Lama,Kuala-Lumpur,338000,3,0,5609448,Partly,Partly
Damansara-Heights,Kuala-Lumpur,18000000,9,0,5609624,Partly,Partly
Jalan-Klang-Lama,Kuala-Lumpur,400000,3,0,5609800,Unfurnished,Partly
Cheras,Kuala-Lumpur,390000,3,0,5609976,Partly,Partly
Desa-ParkCity,Kuala-Lumpur,909000,2,0,5610152,Unfurnished,Partly
Mont-Kiara,Kuala-Lumpur,1140000,2,0,5610328,Fully,Partly
Setapak,Kuala-Lumpur,420000,3,0,5610504,Partly,Partly
Keramat,Kuala-Lumpur,500000,3,0,5610680,Partly,Partly
Sentul,Kuala-Lumpur,370000,3,0,5610856,Fully,Partly
Taman-Melawati,Kuala-Lumpur,480000,3,0,5611032,Partly,Partly
Taman-Melawati,Kuala-Lumpur,540000,3,0,5611208,Partly,Partly
Taman-Melawati,Kuala-Lumpur,530000,3,0,5611384,Partly,Partly
Taman-Melawati,Kuala-Lumpur,500000,3,0,5611560,Partly,Partly
Taman-Melawati,Kuala-Lumpur,480000,3,0,5611736,Partly,Partly
Taman-Melawati,Kuala-Lumpur,520000,3,0,5611912,Partly,Partly
Taman-Melawati,Kuala-Lumpur,500000,3,0,5612088,Unfurnished,Partly
Cheras,Kuala-Lumpur,430000,3,0,5612264,Unfurnished,Partly
Segambut,Kuala-Lumpur,355000,3,0,5612440,Partly,Partly
Jalan-Klang-Lama,Kuala-Lumpur,400000,3,0,5612616,Fully,Partly
Taman-Melawati,Kuala-Lumpur,500000,3,0,5612792,Unfurnished,Partly
Setapak,Kuala-Lumpur,395000,3,0,5612968,Unfurnished,Partly
Mont-Kiara,Kuala-Lumpur,498200,3,0,5613144,Partly,Partly
Jalan-Klang-Lama,Kuala-Lumpur,405000,3,0,5613320,Partly,Partly
Cheras,Kuala-Lumpur,560000,3,0,5613496,Unfurnished,Partly
Cheras,Kuala-Lumpur,555000,3,0,5613672,Unfurnished,Partly
